hanzi,traditional,pinyin,pinyin_numeric,hsk_level,frequency,pos,meaning_en,meaning_ko,classifiers
制定,制定,zhì dìng,zhi4 ding4,5,3364,v/vn,to draw up; to formulate,,
制度,制度,zhì dù,zhi4 du4,5,3310,n,"system (e.g. political, adminstrative etc); institution",,个
制作,製作,zhì zuò,zhi4 zuo4,5,1835,v/vn,to make; to manufacture,,
治疗,治療,zhì liáo,zhi4 liao2,5,691,v/vn,to treat (an illness); medical treatment; therapy,,
秩序,秩序,zhì xù,zhi4 xu4,5,4066,n,order (orderly); order (sequence); social order; the state (of society),,个
智慧,智慧,zhì huì,zhi4 hui4,5,3247,n,wisdom; knowledge; intelligent; intelligence,,
中介,中介,zhōng jiè,zhong1 jie4,5,8051,n,to act as intermediary; to link; intermediate; inter-; agency; agent,,
中心,中心,zhōng xīn,zhong1 xin1,5,661,n,center; heart; core,,个
中旬,中旬,zhōng xún,zhong1 xun2,5,15789,t,middle third of a month,,
钟,鐘,zhōng,zhong1,5,1714,n/nr,clock; o'clock; time as measured in hours and minutes; bell,,架/座
重,重,chóng,chong2,5,608,a/d/v/q/g,to repeat; repetition; again; re-; classifier: layer,,
重复,重複,chóng fù,chong2 fu4,5,2608,v/vn/a,to repeat; to duplicate,,个
重量,重量,zhòng liàng,zhong4 liang4,5,5720,n,weight,,个
周到,周到,zhōu dào,zhou1 dao4,5,10949,a,thoughtful; considerate; attentive; thorough; also pr. [zhōu dao],,
竹子,竹子,zhú zi,zhu2 zi5,5,15281,n,bamboo,,棵/支/根
逐步,逐步,zhú bù,zhu2 bu4,5,8734,d,progressively; step by step,,
主持,主持,zhǔ chí,zhu3 chi2,5,3176,v/vn,to take charge of; to manage or direct; to preside over; to uphold; to stand for (justice etc); to host (a TV or radio program etc); (TV) anchor,,
主观,主觀,zhǔ guān,zhu3 guan1,5,9403,a/n,subjective,,
主人,主人,zhǔ rén,zhu3 ren2,5,2399,n,master; host; owner,,个
主席,主席,zhǔ xí,zhu3 xi2,5,2330,n,chairperson; premier; chairman,,个/位
主张,主張,zhǔ zhāng,zhu3 zhang1,5,6498,v/n,to advocate; to stand for; view; position; stand; proposition; viewpoint; assertion,,个
煮,煮,zhǔ,zhu3,5,2829,v,to cook; to boil,,
嘱咐,囑咐,zhǔ fù,zhu3 fu4,5,17575,v/vn,to tell; to exhort; injunction,,
注册,註冊,zhù cè,zhu4 ce4,5,3097,v/vn,to register; to enroll,,
祝福,祝福,zhù fú,zhu4 fu2,5,2756,v/vn,blessings; to wish sb well,,
抓紧,抓緊,zhuā jǐn,zhua1 jin3,5,3896,v,to keep a firm grip on; to pay close attention to; to lose no time in (doing sth),,
专家,專家,zhuān jiā,zhuan1 jia1,5,1096,n,expert; specialist,,
专心,專心,zhuān xīn,zhuan1 xin1,5,8032,ad/a,to focus one's attention; to concentrate on (doing sth),,
转变,轉變,zhuǎn biàn,zhuan3 bian4,5,3151,v/vn,to change; to transform; shift; transformation,,个
转告,轉告,zhuǎn gào,zhuan3 gao4,5,12234,v,to pass on; to communicate; to transmit,,
装,裝,zhuāng,zhuang1,5,741,v,adornment; to adorn; dress; clothing; costume (of an actor in a play); to play a role; to pretend; to install; to fix; to wrap (sth in a bag); to load; to pack,,
装饰,裝飾,zhuāng shì,zhuang1 shi4,5,3810,n/v/vn,to decorate; decoration; decorative; ornamental,,
状况,狀況,zhuàng kuàng,zhuang4 kuang4,5,1372,n,condition; state; situation,,个
状态,狀態,zhuàng tài,zhuang4 tai4,5,1158,n,condition; state; state of affairs,,个
追求,追求,zhuī qiú,zhui1 qiu2,5,2302,v/vn,to pursue (a goal etc) stubbornly; to seek after; to woo,,
咨询,咨詢,zī xún,zi1 xun2,5,2768,vn/v,to consult; to seek advice; consultation; (sales) inquiry (formal),,
姿势,姿勢,zī shì,zi1 shi4,5,4464,n,posture; position,,
资格,資格,zī gé,zi1 ge2,5,2290,n,qualifications; seniority,,
资金,資金,zī jīn,zi1 jin1,5,1851,n,funds; capital,,
