hanzi,traditional,pinyin,pinyin_numeric,hsk_level,frequency,pos,meaning_en,meaning_ko,classifiers
爱,愛,ài,ai4,1,130,v/vn/b,to love; to be fond of; to like; affection; to be inclined (to do sth); to tend to (happen),"사랑하다, 좋아하다",
八,八,bā,ba1,1,1362,m/t,eight; 8,"여덟, 8",
爸爸,爸爸,bà ba,ba4 ba5,1,908,n,(coll.) father; dad,"아빠, 아버지",个/位
杯子,杯子,bēi zi,bei1 zi5,1,6162,n,cup; glass,"컵, 잔",个/只
北京,北京,Běi jīng,Bei3 jing1,1,4799,ns,"Beijing, capital of the People's Republic of China",베이징(중국의 수도),
本,本,běn,ben3,1,222,r/q/d/n,"root; stem; origin; source; this; the current; original; inherent; originally; classifier for books, periodicals, files etc",권 (책을 세는 양사),
不,不,bù,bu4,1,9,d,no; not so; (bound form) not; un-,"아니다, ~하지 않다",
不客气,不客氣,bù kè qi,bu4 ke4 qi5,1,16723,,you're welcome; don't mention it; impolite; rude; blunt,"천만에요, 별말씀을요",
菜,菜,cài,cai4,1,1448,n,dish (type of food); vegetable; cuisine; (coll.) (one's) type; (of one's skills etc) weak; poor,"요리, 채소",盘/道
茶,茶,chá,cha2,1,1910,n/g,tea; tea plant,차(마시는 차),杯/壶
吃,吃,chī,chi1,1,142,v,"to eat; to consume; to eat at (a cafeteria etc); to eradicate; to destroy; to absorb; to suffer (shock, injury, defeat etc)",먹다,
出租车,出租車,chū zū chē,chu1 zu1 che1,1,2677,n,taxi; (Tw) rental car,택시,
打电话,打電話,dǎ diàn huà,da3 dian4 hua4,1,1218,v,to make a telephone call,전화를 걸다,
大,大,dà,da4,1,66,a/d/n/g,big; large; great; older (than another person); eldest (as in 姐); greatly; freely; fully; (dialect) father; (dialect) uncle (father's brother),크다,
的,的,de,de5,1,1,u/n,of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); also pr. [dì] or [di] in poetry and songs,~의 (소유·수식을 나타내는 조사),
点,點,diǎn,dian3,1,58,qt/n/t/v,point; dot; drop; speck; o'clock; point (in space or time); to draw a dot; to check on a list; to choose; to order (food in a restaurant); to touch briefly; to hint; to light; to ignite; to pour a liquid drop by drop; (old) one fifth of a two-hour watch 更; dot stroke in Chinese characters; classifier for items,"시(시각), 조금, 주문하다",
电脑,電腦,diàn nǎo,dian4 nao3,1,946,n,computer,컴퓨터,台
电视,電視,diàn shì,dian4 shi4,1,779,n,television; TV,텔레비전,台/个
电影,電影,diàn yǐng,dian4 ying3,1,546,n,movie; film,영화,部/片/幕/场
东西,東西,dōng xi,dong1 xi5,1,226,n/f/nr,thing; stuff; person,"물건, 것",个/件
都,都,dōu,dou1,1,25,d/g,all; both; entirely; (used for emphasis) even; already; (not) at all,"모두, 다",
读,讀,dú,du2,1,1013,v,to read out; to read aloud; to read; to attend (school); to study (a subject in school); to pronounce,"읽다, 공부하다",
对不起,對不起,duì bu qǐ,dui4 bu5 qi3,1,1577,v,I'm sorry; excuse me; I beg your pardon; to let (sb) down; to disappoint,"미안합니다, 죄송합니다",
多,多,duō,duo1,1,80,a/m/ad/d/v/g,many; much; too many; in excess; (after a numeral) ... odd; how (to what extent) (Taiwan pr. [duó]); (bound form) multi-; poly-,많다,
多少,多少,duō shǎo,duo1 shao3,1,526,r,number; amount; somewhat,"얼마, 몇",
儿子,兒子,ér zi,er2 zi5,1,665,n,son,아들,
二,二,èr,er4,1,664,m/t,two; 2; (Beijing dialect) stupid,"둘, 2",
饭馆,飯館,fàn guǎn,fan4 guan3,1,16449,n,restaurant,식당,家
飞机,飛機,fēi jī,fei1 ji1,1,1067,n,airplane,비행기,架
分钟,分鐘,fēn zhōng,fen1 zhong1,1,465,qt,minute,분(시간 단위),
高兴,高興,gāo xìng,gao1 xing4,1,920,a/an,happy; glad; willing (to do sth); in a cheerful mood,"기쁘다, 즐겁다",
个,個,gè,ge4,1,19,q/g,(classifier used before a noun that has no specific classifier); (bound form) individual,개(사물을 세는 양사),
工作,工作,gōng zuò,gong1 zuo4,1,111,vn/v/n,to work; (of a machine) to operate; job; work; task,"일하다, 일, 직업",个/份/项
狗,狗,gǒu,gou3,1,620,n,dog,개(동물),只/条
汉语,漢語,Hàn yǔ,Han4 yu3,1,13422,nz,Chinese language,중국어,门
好,好,hǎo,hao3,1,20,a/d/v,good; appropriate; proper; all right!; (before a verb) easy to; (before a verb) good to; (before an adjective for exclamatory effect) so; (verb complement indicating completion); (of two people) close; on intimate terms; (after a personal pronoun) hello,"좋다, 안녕(하다)",
喝,喝,hē,he1,1,428,g/vn,to drink; variant of 嗬,마시다,
和,和,hé,he2,1,19,cc/p/v/qv/g/n,(joining two nouns) and; together with; with (Taiwan pr. [hàn]); (math.) sum; to make peace; (sports) to draw; to tie; (bound form) harmonious; (bound form) Japan; Japanese,"~와, ~과, 그리고",
很,很,hěn,hen3,1,35,d,(adverb of degree); quite; very; awfully,"매우, 아주",
后面,後面,hòu mian,hou4 mian5,1,1300,f,the back; the rear; the last bit; behind; near the end; at the back; later; afterwards,"뒤, 뒤쪽",
回,回,huí,hui2,1,225,v/qv,to circle; to go back; to turn around; to answer; to return; to revolve; Hui ethnic group (Chinese Muslims); time; classifier for acts of a play; section or chapter (of a classic book),"돌아가다, 돌아오다",
会,會,huì,hui4,1,23,v/n,can; to have the skill; to know how to; to be likely to; to be sure to; to meet; to get together; meeting; gathering; (suffix) union; group; association; (bound form) a moment (Taiwan pr. [huǐ]),"할 줄 알다, ~할 것이다",
火车站,火車站,huǒ chē zhàn,huo3 che1 zhan4,1,7270,n,train station,기차역,
几,幾,jǐ,ji3,1,178,m/d,how much; how many; several; a few,몇,
家,家,jiā,jia1,1,124,n/q,"home; family; (polite) my (sister, uncle etc); classifier for families or businesses; refers to the philosophical schools of pre-Han China; noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian","집, 가족",个
叫,叫,jiào,jiao4,1,200,v/p/n,to shout; to call; to order; to ask; to be called; by (indicates agent in the passive mood),"부르다, ~라고 부르다",
今天,今天,jīn tiān,jin1 tian1,1,155,t,today; at the present; now,오늘,
九,九,jiǔ,jiu3,1,2040,m/t/b,nine; 9,"아홉, 9",
开,開,kāi,kai1,1,195,v/q,"to open (transitive or intransitive); (of ships, vehicles, troops etc) to start; to turn on; to put in operation; to operate; to run; to boil; to write out (a prescription, check, invoice etc); (directional complement) away; off; carat (gold); abbr. for Kelvin, 开尔文; abbr. for 开本, book format","열다, (차 등을) 운전하다, 켜다",
看,看,kàn,kan4,1,52,v/u,to see; to look at; to read; to watch; to visit; to call on; to consider; to regard as; to look after; to treat (a patient or illness); to depend on; to feel (that); (after a verb) to give it a try; to watch out for,보다,
看见,看見,kàn jiàn,kan4 jian4,1,870,v,to see; to catch sight of,"보다, 눈에 띄다",
块,塊,kuài,kuai4,1,483,q/g,"lump; chunk; piece; classifier for pieces of cloth, cake, soap etc; (coll.) classifier for money and currency units","위안(화폐 단위), 덩어리",
来,來,lái,lai2,1,31,v/f/m/u/y,"to come; (used as a substitute for a more specific verb); hither (directional complement for motion toward the speaker, as in 回来); ever since (as in 自古以来); for the past (amount of time); (prefix) the coming ...; the next ... (as in 来世); (between two verbs) in order to; (after a round number) approximately; (used after 得 to indicate possibility, as in 谈得来, or after 不 to indicate impossibility, as in 吃不来)",오다,
老师,老師,lǎo shī,lao3 shi1,1,799,n,teacher,선생님,个/位
了,了,le,le5,1,3,y/u/v,"(completed action marker); (modal particle indicating change of state, situation now); (modal particle intensifying preceding clause)",(완료·변화를 나타내는 조사),
冷,冷,lěng,leng3,1,1027,a/ad/g,cold,"춥다, 차갑다",
里,裡,lǐ,li3,1,75,f/q,lining; interior; inside; internal; also written 里,"안, 속",
零,零,líng,ling2,1,3623,m/t/g,zero; nought; zero sign; fractional; fragmentary; odd (of numbers); (placed between two numbers to indicate a smaller quantity followed by a larger one); fraction; (in mathematics) remainder (after division); extra; to wither and fall; to wither,"영, 0",
六,六,liù,liu4,1,802,m/t,six; 6,"여섯, 6",
妈妈,媽媽,mā ma,ma1 ma5,1,527,n,mama; mommy; mother,"엄마, 어머니",个/位
吗,嗎,má,ma2,1,83,y,(coll.) what?,~까? (의문을 나타내는 조사),
买,買,mǎi,mai3,1,240,v,to buy; to purchase,사다,
猫,貓,māo,mao1,1,1150,n/v,cat; (dialect) to hide oneself; (coll.) modem,고양이,只
没,沒,méi,mei2,1,63,d/v,(negative prefix for verbs) have not; not,"없다, ~하지 않았다",
没关系,沒關係,méi guān xi,mei2 guan1 xi5,1,3541,v,it doesn't matter,"괜찮습니다, 상관없습니다",
米饭,米飯,mǐ fàn,mi3 fan4,1,10194,n,(cooked) rice,쌀밥,
名字,名字,míng zi,ming2 zi5,1,829,n,name (of a person or thing),이름,个
明天,明天,míng tiān,ming2 tian1,1,469,t,tomorrow,내일,
哪,哪,nǎ,na3,1,547,r/y,how; which,"어느, 어디",
那,那,nà,na4,1,48,r/c,"(specifier) that; the; those (colloquial pr. [nèi]); (pronoun) that (referring to persons, things or situations); then (in that case)","그, 저 (것)",
呢,呢,ne,ne5,1,96,y,"particle indicating that a previously asked question is to be applied to the preceding word (""What about ...?"", ""And ...?""); particle for inquiring about location (""Where is ...?""); particle signaling a pause, to emphasize the preceding words and allow the listener time to take them on board (""ok?"", ""are you with me?""); (at the end of a declarative sentence) particle indicating continuation of a state or action; particle indicating strong affirmation",~는요? (의문·화제를 나타내는 조사),
能,能,néng,neng2,1,46,v/g,can; to be able to; might possibly; ability; (physics) energy,~할 수 있다,
你,你,nǐ,ni3,1,5,r,"you (informal, as opposed to courteous 您)","너, 당신",
年,年,nián,nian2,1,79,qt/t/n,year,"년, 해",个
女儿,女兒,nǚ ér,nü3 er2,1,879,n,daughter,딸,
朋友,朋友,péng you,peng2 you5,1,280,n,friend,친구,个/位
漂亮,漂亮,piào liang,piao4 liang5,1,915,a,pretty; beautiful,"예쁘다, 아름답다",
苹果,蘋果,píng guǒ,ping2 guo3,1,2562,n,apple,사과,个/颗
七,七,qī,qi1,1,1419,m/t,seven; 7,"일곱, 7",
前面,前面,qián miàn,qian2 mian4,1,1789,f,ahead; in front; preceding; above; also pr. [qián mian],"앞, 앞쪽",
钱,錢,qián,qian2,1,218,n/nr,"coin; money; unit of weight, one tenth of a tael 两",돈,笔
请,請,qǐng,qing3,1,216,v,to ask; to invite; please (do sth); to treat (to a meal etc); to request,"부탁하다, 청하다, ~해 주세요",
去,去,qù,qu4,1,38,v,to go; to go to (a place); (of a time etc) last; just passed; to send; to remove; to get rid of; to reduce; to be apart from in space or time; to die (euphemism); to play (a part); (when used either before or after a verb) to go in order to do sth; (after a verb of motion indicates movement away from the speaker); (used after certain verbs to indicate detachment or separation),가다,
热,熱,rè,re4,1,938,a/n/k/v/ad/an,to warm up; to heat up; hot (of weather); heat; fervent,"덥다, 뜨겁다",
人,人,rén,ren2,1,19,n,person; people,사람,个/位
认识,認識,rèn shi,ren4 shi5,1,463,v/n/vn,to know; to recognize; to be familiar with; to get acquainted with sb; knowledge; understanding; awareness; cognition,"알다, 인식하다",
日,日,rì,ri4,1,395,t/g/b/qt,"sun; day; date, day of the month","일(날짜), 해, 태양",
三,三,sān,san1,1,233,m/t,three; 3,"셋, 3",
商店,商店,shāng diàn,shang1 dian4,1,3479,n,store; shop,"상점, 가게",家/个
上,上,shàng,shang4,1,29,f/v/g,(bound form) up; upper; above; previous; first (of multiple parts); to climb; to get onto; to go up; to attend (class or university); (directional complement) up; (noun suffix) on; above,"위, 오르다",
上午,上午,shàng wǔ,shang4 wu3,1,2188,t,morning,오전,个
少,少,shǎo,shao3,1,538,a/ad/v/d/g,few; less; to lack; to be missing; to stop (doing sth); seldom,적다,
什么,什麼,shén me,shen2 me5,1,55,r,what?; something; anything,"무엇, 무슨",
十,十,shí,shi2,1,865,m/t,ten; 10,"열, 10",
时候,時候,shí hou,shi2 hou5,1,107,n,time; length of time; moment; period,"때, 시간",
是,是,shì,shi4,1,4,v,to be (followed by substantives only); correct; right; true; (respectful acknowledgement of a command) very well; (adverb for emphatic assertion),~이다,
书,書,shū,shu1,1,560,n/g,book; letter; document; to write,책,本/册/部
谁,誰,shéi,shei2,1,142,r,who; also pr. [shuí],누구,
水,水,shuǐ,shui3,1,335,n,water; river; liquid; beverage; additional charges or income; (of clothes) classifier for number of washes,물,
水果,水果,shuǐ guǒ,shui3 guo3,1,3271,n,fruit,과일,个
睡觉,睡覺,shuì jiào,shui4 jiao4,1,944,v,to go to bed; to sleep,잠자다,
说话,說話,shuō huà,shuo1 hua4,1,880,v/vn,to speak; to say; to talk; to gossip; to tell stories; talk; word,말하다,
四,四,sì,si4,1,481,m/t,four; 4,"넷, 4",
岁,歲,suì,sui4,1,266,qt,classifier for years (of age); year; year (of crop harvests),"살, 세(나이를 세는 양사)",
他,他,tā,ta1,1,10,r,he; him (used for either sex when the sex is unknown or unimportant); (used before sb's name for emphasis); (used as a meaningless mock object); (literary) other,그(남자),
她,她,tā,ta1,1,38,r,she,그녀,
太,太,tài,tai4,1,87,d/b,highest; greatest; too (much); very; extremely,"너무, 매우",
天气,天氣,tiān qì,tian1 qi4,1,1675,n,weather,날씨,
听,聽,tīng,ting1,1,190,v,"to listen to; to hear; to heed; to obey; a can (loanword from English ""tin""); classifier for canned beverages; to let be; to allow (Taiwan pr. [tìng]); (literary) to administer; to deal with (Taiwan pr. [tìng])",듣다,
同学,同學,tóng xué,tong2 xue2,1,1828,n,to study at the same school; fellow student; classmate,"학우, 동창",位/个
喂,喂,wèi,wei4,1,1301,v/e,"hey; to feed (an animal, baby, invalid etc)","여보세요, (동물에게) 먹이를 주다",
我,我,wǒ,wo3,1,3,r,I; me; my,"나, 저",
我们,我們,wǒ men,wo3 men5,1,19,r,we; us; ourselves; our,우리,
五,五,wǔ,wu3,1,563,m/t,five; 5,"다섯, 5",
喜欢,喜歡,xǐ huan,xi3 huan5,1,139,v/vn,to like; to be fond of,좋아하다,
下,下,xià,xia4,1,70,v/f/qt/g,"down; downwards; below; lower; later; next (week etc); second (of two parts); to decline; to go down; to arrive at (a decision, conclusion etc); measure word to show the frequency of an action","아래, 내려가다",
下午,下午,xià wǔ,xia4 wu3,1,782,t,afternoon; p.m.,오후,个
下雨,下雨,xià yǔ,xia4 yu3,1,5648,v,to rain,비가 오다,
先生,先生,xiān sheng,xian1 sheng5,1,586,n,teacher; gentleman; sir; mister (Mr.); husband; (dialect) doctor,"선생님, ~씨(성인 남성 존칭)",位
现在,現在,xiàn zài,xian4 zai4,1,77,t,now; at present; at the moment; modern; current; nowadays,"지금, 현재",
想,想,xiǎng,xiang3,1,44,v,to think (about); to think of; to devise; to think (that); to believe (that); to desire; to want (to); to miss (feel wistful about the absence of),"생각하다, ~하고 싶다",
小,小,xiǎo,xiao3,1,100,a/ad,small; tiny; few; young,작다,
小姐,小姐,xiǎo jie,xiao3 jie5,1,1575,n,young lady; miss; (slang) prostitute,"아가씨, ~양",个/位
些,些,xiē,xie1,1,611,q,"classifier indicating a small amount or small number greater than 1: some, a few, several","약간, 몇몇(양사)",
写,寫,xiě,xie3,1,352,v,to write,쓰다,
谢谢,謝謝,xiè xie,xie4 xie5,1,520,v,to thank; thanks; thank you,감사합니다,
星期,星期,xīng qī,xing1 qi1,1,1956,n,week; day of the week; Sunday,"요일, 주",个
学生,學生,xué sheng,xue2 sheng5,1,651,n,student; schoolchild,학생,
学习,學習,xué xí,xue2 xi2,1,789,v/vn,to learn; to study,"공부하다, 배우다",
学校,學校,xué xiào,xue2 xiao4,1,430,n,school,학교,所
一,一,yī,yi1,1,21,m/d/t,"one; single; a (article); as soon as; entire; whole; all; throughout; ""one"" radical in Chinese characters (Kangxi radical 1); also pr. [yāo] for greater clarity when spelling out numbers digit by digit","하나, 1",
衣服,衣服,yī fu,yi1 fu5,1,1472,n,clothes,옷,件/套
医生,醫生,yī shēng,yi1 sheng1,1,827,n,doctor,의사,个/位/名
医院,醫院,yī yuàn,yi1 yuan4,1,608,n,hospital,병원,所/家/座
椅子,椅子,yǐ zi,yi3 zi5,1,4472,n,chair,의자,把/套
有,有,yǒu,you3,1,9,v,to have; there is; (bound form) having; with; -ful; -ed; -al (as in 意 intentional),"있다, 가지고 있다",
月,月,yuè,yue4,1,161,n/t,moon; month; monthly,"달, 월",个/轮
再见,再見,zài jiàn,zai4 jian4,1,2487,v,goodbye; see you again later,"안녕히 가세요/계세요, 또 만나요",
在,在,zài,zai4,1,5,p/v/d,to exist; to be alive; (of sb or sth) to be (located) at; (used before a verb to indicate an action in progress),"~에 있다, ~하고 있다",
怎么,怎麼,zěn me,zen3 me5,1,128,r,how?; what?; why?,"어떻게, 왜",
怎么样,怎麼樣,zěn me yàng,zen3 me5 yang4,1,1367,r,how?; how about?; how was it?; how are things?,어때요?,
这,這,zhè,zhe4,1,11,r,"(pronoun) this; these; (bound form) this; the (followed by a noun); (bound form) this; these (followed by a classifier) (in this sense, commonly pr. [zhèi], esp. in Beijing)","이, 이것",
中国,中國,Zhōng guó,Zhong1 guo2,1,729,ns,China,중국,
中午,中午,zhōng wǔ,zhong1 wu3,1,2600,t,noon; midday,"정오, 낮",个
住,住,zhù,zhu4,1,280,v,"to live; to dwell; to stay; to reside; to stop; (suffix indicating firmness, steadiness, or coming to a halt)","살다, 거주하다",
桌子,桌子,zhuō zi,zhuo1 zi5,1,3639,n,table; desk,"탁자, 책상",张/套
字,字,zì,zi4,1,913,n,letter; symbol; character; word; courtesy or style name traditionally given to males aged 20 in dynastic China,글자,个
昨天,昨天,zuó tiān,zuo2 tian1,1,557,t,yesterday,어제,
坐,坐,zuò,zuo4,1,435,v,"to sit; to take a seat; to take (a bus, airplane etc); to bear fruit; variant of 座","앉다, (교통수단을) 타다",
做,做,zuò,zuo4,1,53,v,"to make; to produce; to write; to compose; to do; to engage in; to hold (a party etc); (of a person) to be (an intermediary, a good student etc); to become (husband and wife, friends etc); (of a thing) to serve as; to be used for; to assume (an air or manner)","하다, 만들다",
吧,吧,bā,ba1,2,58,y,"bar (loanword) (serving drinks, or providing Internet access etc); to puff (on a pipe etc); (onom.) bang; abbr. for 贴吧",,
白,白,bái,bai2,2,930,a/nr/d/b/v/g,white; snowy; pure; bright; empty; blank; plain; clear; to make clear; in vain; gratuitous; free of charge; reactionary; anti-communist; funeral; to stare coldly; to write wrong character; to state; to explain; vernacular; spoken lines in opera,,
百,百,bǎi,bai3,2,2455,m/t,hundred; numerous; all kinds of,,
帮助,幫助,bāng zhù,bang1 zhu4,2,499,v/vn,assistance; aid; to help; to assist,,
报纸,報紙,bào zhǐ,bao4 zhi3,2,2232,n,newspaper; newsprint,,份/期/张
比,比,bǐ,bi3,2,155,p/v/n/b,to compare; (followed by a noun and adjective) more {adj.} than {noun}; ratio; to gesture; (Taiwan pr. [bì] in some compounds derived from Classical Chinese),,
便宜,便宜,pián yi,pian2 yi5,2,2814,a/v/an,cheap; inexpensive; small advantages; to let sb off lightly,,
别,別,bié,bie2,2,214,d/v/r/vn,"to leave; to part (from); (literary) to differentiate; to distinguish; (bound form) other; another; different; don't ...!; to fasten with a pin or clip; to stick in; to insert (in order to hinder movement); (noun suffix) category (e.g. 性别, 派别)",,
唱歌,唱歌,chàng gē,chang4 ge1,2,2876,v/vn,to sing a song,,
出,出,chū,chu1,2,85,v/q,"to go out; to come out; to occur; to produce; to go beyond; to rise; to put forth; to happen; (used after a verb to indicate an outward direction or a positive result); classifier for dramas, plays, operas etc",,
穿,穿,chuān,chuan1,2,430,v,to wear; to put on; to dress; to bore through; to pierce; to perforate; to penetrate; to pass through; to thread,,
船,船,chuán,chuan2,2,1346,n,boat; vessel; ship,,条/艘/只
次,次,cì,ci4,2,99,qv/a/g,"next in sequence; second; the second (day, time etc); secondary; vice-; sub-; infra-; inferior quality; substandard; order; sequence; hypo- (chemistry); classifier for enumerated events: time",,
从,從,cóng,cong2,2,70,p/g,from; through; via; to follow; to obey; to engage in (an activity); never (in negative sentence); (Taiwan pr. [zòng]) retainer; assistant; auxiliary; subordinate; related by common paternal grandfather or earlier ancestor,,
错,錯,cuò,cuo4,2,531,v/n,mistake; wrong; bad; interlocking; complex; to grind; to polish; to alternate; to stagger; to miss; to let slip; to evade; to inlay with gold or silver,,
打篮球,打籃球,dǎ lán qiú,da3 lan2 qiu2,2,1000000,,to play basketball,,
大家,大家,dà jiā,da4 jia1,2,189,r/n,everyone; influential family; great expert,,
但是,但是,dàn shì,dan4 shi4,2,115,c,but; however,,
到,到,dào,dao4,2,29,v/p,to reach; to arrive; to leave for; to go to; to (a place); until (a time); up to (a point); (verb complement indicating arriving at a place or reaching a point); considerate; thoughtful; thorough,,
得,得,dé,de2,2,58,u/v,to obtain; to get; to gain; to catch (a disease); proper; suitable; proud; contented; to allow; to permit; ready; finished,,
弟弟,弟弟,dì di,di4 di5,2,2424,n,younger brother,,个/位
第一,第一,dì yī,di4 yi1,2,223,m,first; number one; primary,,
懂,懂,dǒng,dong3,2,669,v,to understand; to comprehend,,
房间,房間,fáng jiān,fang2 jian1,2,1357,n,room,,间/个
非常,非常,fēi cháng,fei1 chang2,2,194,d/b,very; really; unusual; extraordinary,,
服务员,服務員,fú wù yuán,fu2 wu4 yuan2,2,5531,n,waiter; waitress; attendant; customer service personnel,,个/位
高,高,gāo,gao1,2,290,a/ad/v/g,high; tall; above average; loud; your (honorific),,
告诉,告訴,gào sù,gao4 su4,2,252,v,to press charges; to file a complaint,,
哥哥,哥哥,gē ge,ge1 ge5,2,1655,n,older brother,,个/位
给,給,gěi,gei3,2,46,p/v/u,to; for; for the benefit of; to give; to allow; to do sth (for sb); (grammatical equivalent of 被); (grammatical equivalent of 把); (sentence intensifier),,
公共汽车,公共汽車,gōng gòng qì chē,gong1 gong4 qi4 che1,2,13591,,bus,,辆/班
公斤,公斤,gōng jīn,gong1 jin1,2,4784,q,kilogram (kg),,
公司,公司,gōng sī,gong1 si1,2,220,n,company; firm; corporation,,家
贵,貴,guì,gui4,2,2239,a/r/b/g,expensive; noble; precious; (honorific) your,,
还,還,hái,hai2,2,37,d/v,still; still in progress; still more; yet; even more; in addition; fairly; passably (good); as early as; even; also; else,,
孩子,孩子,hái zi,hai2 zi5,2,207,n,child,,
好吃,好吃,hǎo chī,hao3 chi1,2,2484,a,tasty; delicious,,
号,號,hào,hao4,2,278,q/n/v,ordinal number; day of a month; mark; sign; business establishment; size; ship suffix; horn (wind instrument); bugle call; assumed name; to take a pulse; classifier used to indicate number of people,,
黑,黑,hēi,hei1,2,724,a/g/b,black; dark; sinister; secret; shady; illegal; to hide (sth) away; to vilify; (loanword) to hack (computing),,
红,紅,hóng,hong2,2,794,a/v/g,red; popular; revolutionary; bonus,,
欢迎,歡迎,huān yíng,huan1 ying2,2,796,v/vn,to welcome; welcome,,
回答,回答,huí dá,hui2 da2,2,1100,v/vn,to reply; to answer; reply; answer,,
机场,機場,jī chǎng,ji1 chang3,2,2308,n,airport; airfield; (slang) service provider for Shadowsocks or similar software for circumventing Internet censorship,,家/处
鸡蛋,雞蛋,jī dàn,ji1 dan4,2,3501,n,(chicken) egg; hen's egg,,个/打
件,件,jiàn,jian4,2,292,q/g,"item; component; classifier for events, things, clothes etc",,
教室,教室,jiào shì,jiao4 shi4,2,5082,n,classroom,,间
介绍,介紹,jiè shào,jie4 shao4,2,779,v/vn,to introduce (sb to sb); to give a presentation; to present (sb for a job etc); introduction,,
姐姐,姐姐,jiě jie,jie3 jie5,2,1513,n,older sister,,个
近,近,jìn,jin4,2,822,a/v,near; close to; approximately,,
进,進,jìn,jin4,2,338,v,to go forward; to advance; to go in; to enter; to put in; to submit; to take in; to admit; (math.) base of a number system; classifier for sections in a building or residential compound,,
就,就,jiù,jiu4,2,15,d/p/c/v,(after a suppositional clause) in that case; then; (after a clause of action) as soon as; immediately after; (same as 是) merely; nothing else but; simply; just; precisely; exactly; only; as little as; as much as; as many as; to approach; to move towards; to undertake; to engage in; (often followed by 着) taking advantage of; (of food) to go with; with regard to; concerning; (pattern: 就 ... 也 ...) even if ... still ...; (pattern: 不 ... 就 ...) if not ... then must be ...,,
觉得,覺得,jué de,jue2 de5,2,161,v,to think that ...; to feel that ...; to feel (uncomfortable etc),,
咖啡,咖啡,kā fēi,ka1 fei1,2,1698,n,coffee (loanword),,杯
开始,開始,kāi shǐ,kai1 shi3,2,132,v/vn,to begin; beginning; to start; initial,,个
考试,考試,kǎo shì,kao3 shi4,2,1718,vn/v,to take an exam; exam,,次
可能,可能,kě néng,ke3 neng2,2,127,v/n,might (happen); possible; probable; possibility; probability; maybe; perhaps,,个
可以,可以,kě yǐ,ke3 yi3,2,58,v,can; may; possible; able to; not bad; pretty good,,
课,課,kè,ke4,2,1517,n,subject; course; class; lesson; to levy; tax; form of divination,,门/堂/节
快,快,kuài,kuai4,2,153,a/d/g,rapid; quick; speed; rate; soon; almost; to make haste; clever; sharp (of knives or wits); forthright; plainspoken; gratified; pleased; pleasant,,
快乐,快樂,kuài lè,kuai4 le4,2,637,a/an,happy; joyful,,
累,累,lèi,lei4,2,1197,a/v/an,tired; weary; to strain; to wear out; to work hard,,
离,離,lí,li2,2,912,v/p,"to leave; to part from; to be away from; (in giving distances) from; without (sth); independent of; one of the Eight Trigrams 卦, symbolizing fire; ☲",,
两,兩,liǎng,liang3,2,81,m/t,"two; both; some; a few; tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤 (old)",,
路,路,lù,lu4,2,409,n/qv,road; journey; route; line (bus etc); sort; kind,,条
旅游,旅遊,lǚ yóu,lü3 you2,2,2534,vn/v,trip; journey; tourism; travel; tour; to travel,,
卖,賣,mài,mai4,2,590,v,to sell; to betray; to spare no effort; to show off or flaunt,,
慢,慢,màn,man4,2,1770,a/ad,slow,,
忙,忙,máng,mang2,2,859,v/a/ad/g/an,busy; hurriedly; to hurry; to rush,,
每,每,měi,mei3,2,340,r,each; every,,
妹妹,妹妹,mèi mei,mei4 mei5,2,2093,n,younger sister; young woman,,个
门,門,mén,men2,2,422,n/q,"gate; door; gateway; doorway; opening; valve; switch; way to do something; knack; family; house; (religious) sect; school (of thought); class; category; phylum or division (taxonomy); classifier for large guns; classifier for lessons, subjects, branches of technology; (suffix) -gate (i.e. scandal; derived from Watergate)",,扇/个
男人,男人,nán rén,nan2 ren2,2,415,n,a man; a male; men,,个
您,您,nín,nin2,2,357,r,"you (courteous, as opposed to informal 你)",,
牛奶,牛奶,niú nǎi,niu2 nai3,2,2986,n,cow's milk,,瓶/杯
女人,女人,nǚ rén,nü3 ren2,2,383,n,woman,,
旁边,旁邊,páng biān,pang2 bian1,2,1815,f,side; adjacent place,,
跑步,跑步,pǎo bù,pao3 bu4,2,7199,v,to run; to jog; (military) to march at the double,,
票,票,piào,piao4,2,956,n/q,"ticket; ballot; banknote; person held for ransom; amateur performance of Chinese opera; classifier for groups, batches, business transactions",,张
妻子,妻子,qī zǐ,qi1 zi3,2,1187,n,wife and children,,
起床,起床,qǐ chuáng,qi3 chuang2,2,2645,v,to get out of bed; to get up,,
千,千,qiān,qian1,2,1728,m/t,thousand,,
晴,晴,qíng,qing2,2,9343,v,clear; fine (weather),,
去年,去年,qù nián,qu4 nian2,2,933,t,last year,,
让,讓,ràng,rang4,2,54,v,"to yield; to permit; to let sb do sth; to have sb do sth; to make sb (feel sad etc); by (indicates the agent in a passive clause, like 被)",,
上班,上班,shàng bān,shang4 ban1,2,1495,v/vn,to go to work; to be on duty; to start work; to go to the office,,
身体,身體,shēn tǐ,shen1 ti3,2,731,n,the body; one's health; in person,,具/个
生病,生病,shēng bìng,sheng1 bing4,2,4336,v,to fall ill,,
生日,生日,shēng rì,sheng1 ri4,2,1506,n,birthday,,个
